k,wcss,silhouette,feature_set
2,16476.246445016935,0.23723106198181304,current_10_features
3,14334.65565920169,0.18827404278319257,current_10_features
4,13030.53913674884,0.1746221385317153,current_10_features
5,12007.647533410656,0.17434918499561852,current_10_features
6,11345.526281307506,0.16288297014617978,current_10_features
7,10842.398091282737,0.14521223173330652,current_10_features
8,10362.396755228458,0.14681446936106637,current_10_features
9,9933.163251848993,0.14857975945267496,current_10_features
10,9598.917014056462,0.1474030950975197,current_10_features
2,9932.301968856984,0.3247156183372897,tutorial_lean_set
3,8687.377806422599,0.2531888034553005,tutorial_lean_set
4,7921.483155564242,0.18895529870377603,tutorial_lean_set
5,7300.79748172703,0.17912371363785817,tutorial_lean_set
6,6793.738510245534,0.17571505552429584,tutorial_lean_set
7,6378.657295265801,0.17705452818915907,tutorial_lean_set
8,6054.980137152311,0.17727156531124963,tutorial_lean_set
9,5798.108678396229,0.17637650184441353,tutorial_lean_set
10,5504.7567193058285,0.1805008051452409,tutorial_lean_set
2,12008.653209789729,0.29683227455843625,lean_plus_engagement
3,10606.904387654558,0.27865451227199894,lean_plus_engagement
4,9528.744986976257,0.23955540024938202,lean_plus_engagement
5,8763.878903184883,0.1788470080773262,lean_plus_engagement
6,8275.483597293192,0.1674256094026611,lean_plus_engagement
7,7805.115730976966,0.162231403523894,lean_plus_engagement
8,7408.73475275028,0.16371906474010128,lean_plus_engagement
9,7100.806230462718,0.16369036225750302,lean_plus_engagement
10,6816.874017757145,0.1666453818897275,lean_plus_engagement
