k,wcss,silhouette,features,scaler,explained_variance
2,4127.455253570211,0.5065657629938763,current_8,StandardScaler,0.5574954690892222
3,3083.530971230493,0.4179487208029138,current_8,StandardScaler,0.5574954690892222
4,2425.50247315755,0.36388352490644627,current_8,StandardScaler,0.5574954690892222
5,1945.3012389224436,0.3623856991187938,current_8,StandardScaler,0.5574954690892222
6,1687.9888910358482,0.3446488730648075,current_8,StandardScaler,0.5574954690892222
7,1466.9706727116472,0.33861480987481657,current_8,StandardScaler,0.5574954690892222
2,2412.4986655944645,0.4992670393744484,current_8,RobustScaler,0.5980245957820493
3,1335.7460609259642,0.5466511149045459,current_8,RobustScaler,0.5980245957820493
4,1041.1059955398637,0.43674256273769735,current_8,RobustScaler,0.5980245957820493
5,828.5442523223059,0.44421520972673684,current_8,RobustScaler,0.5980245957820493
6,660.1091747996222,0.4800185658851884,current_8,RobustScaler,0.5980245957820493
7,542.3666387823579,0.46213867614585413,current_8,RobustScaler,0.5980245957820493
2,3981.056950381008,0.5155242643377185,drop_recency,StandardScaler,0.6278725766910199
3,2968.8648248952272,0.4249419918787185,drop_recency,StandardScaler,0.6278725766910199
4,2307.2459981910097,0.3623546590598676,drop_recency,StandardScaler,0.6278725766910199
5,1870.7955011458403,0.3648359606352725,drop_recency,StandardScaler,0.6278725766910199
6,1619.5648551290153,0.34944964506546083,drop_recency,StandardScaler,0.6278725766910199
7,1408.298422866706,0.3417947131685074,drop_recency,StandardScaler,0.6278725766910199
2,2399.0405722502073,0.5019070322925497,drop_recency,RobustScaler,0.6557802174683378
3,1319.8140137251637,0.5501952829008553,drop_recency,RobustScaler,0.6557802174683378
4,1026.8148287141248,0.44100372779505376,drop_recency,RobustScaler,0.6557802174683378
5,810.2409490111986,0.4517788833388396,drop_recency,RobustScaler,0.6557802174683378
6,649.1951128296747,0.4866403352118738,drop_recency,RobustScaler,0.6557802174683378
7,532.9739925372763,0.4675790948611897,drop_recency,RobustScaler,0.6557802174683378
2,4372.25712115994,0.537943661295713,add_total_purchases,StandardScaler,0.5864268055951787
3,3335.1970121254376,0.42706663064963196,add_total_purchases,StandardScaler,0.5864268055951787
4,2595.5939568949966,0.37984964164161816,add_total_purchases,StandardScaler,0.5864268055951787
5,2049.9443007351297,0.3663221296210265,add_total_purchases,StandardScaler,0.5864268055951787
6,1801.810151450571,0.3449268851088237,add_total_purchases,StandardScaler,0.5864268055951787
7,1614.7196062357532,0.340014685604722,add_total_purchases,StandardScaler,0.5864268055951787
2,2473.2723569140394,0.526336775365942,add_total_purchases,RobustScaler,0.6136071820950835
3,1398.5425728063972,0.562831618283571,add_total_purchases,RobustScaler,0.6136071820950835
4,1069.7647255442257,0.45525588664287514,add_total_purchases,RobustScaler,0.6136071820950835
5,859.4550831393608,0.46670613453967325,add_total_purchases,RobustScaler,0.6136071820950835
6,686.3305707682985,0.4899342744463719,add_total_purchases,RobustScaler,0.6136071820950835
7,569.7114550488177,0.4510328308750004,add_total_purchases,RobustScaler,0.6136071820950835
